antena, f. Apéndice sensorial par de la cabeza de los artrópodos
balanza, f. Aparato que sirve para pesar
cereal, adj. Perteneciente o relativo a los cereales.
decretar, tr. Dicho de la persona que tiene autoridad o facultades para Resolver decidir
esfera, f. Geom. Superficie curva formada por los puntos que equidistan de otro interior llamado centro
formidable, adj. Muy temible y que infunde asombro y miedo
gratificacion, f. Recompensa pecuniaria de un servicio eventual
hemisferio, m. Mitad de la superficie de la esfera terrestre que resulta al ser dividida esta por un círculo máximo especialmente el ecuador o un meridiano
improbable, adj. No probable
justificar, tr. Probar algo con razones convincentes testigos o documentos
